,Title,director,actors,Genre,id,Image_url,Average_vote,Runtime,imdb_link
46,Fire Island,Andrew Ahn,Joel Kim Booster Bowen Yang Conrad Ricamora,Comedy Romance,846250,https://image.tmdb.org/t/p/w500//2vVUdYoqUX5rK8plxPGERGGjQLI.jpg,7.039,105min,https://www.imdb.com/title/tt15218000
47,Hustle,Jeremiah Zagar,Adam Sandler Queen Latifah Ben Foster,Drama Comedy,705861,https://image.tmdb.org/t/p/w500//xWic7kPq13oRxYjbGLApXCnc7pz.jpg,7.873,118min,https://www.imdb.com/title/tt8009428
48,Jurassic World Dominion,Colin Trevorrow,Chris Pratt Bryce Dallas Howard Laura Dern,Adventure Action,507086,https://image.tmdb.org/t/p/w500//kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,7.094,147min,https://www.imdb.com/title/tt8041270
49,Jennifer Lopez: Halftime,Amanda Micheli,Amanda Micheli (director); Jennifer Lopez Unknown Unknown,Documentary Music,962192,https://image.tmdb.org/t/p/w500//mPdZnmpdNYdMcMEAqUaJd4OdXHL.jpg,7.016,95min,https://www.imdb.com/title/tt19637852
50,Father of the Bride,Gaz Alazraki,Andy García Gloria Estefan Adria Arjona,Romance Comedy,746419,https://image.tmdb.org/t/p/w500//7nmQYVca1zgRGZ0l2UCLqtYdwVA.jpg,7.291,118min,https://www.imdb.com/title/tt13249596
51,Lightyear,Angus MacLane,Chris Evans Keke Palmer Peter Sohn,Animation Science,718789,https://image.tmdb.org/t/p/w500//8qHwlezCZzOhq88mnpeqK4asz4n.jpg,7.283,105min,https://www.imdb.com/title/tt10298810
52,Cha Cha Real Smooth,Cooper Raiff,Cooper Raiff Dakota Johnson Raúl Castillo,Comedy Drama,814340,https://image.tmdb.org/t/p/w500//iUvoVhvwTlP8DofoqeIu7QAGLAe.jpg,7.227,108min,https://www.imdb.com/title/tt14376344
53,Beavis and Butt-Head Do the Universe,Mike Judge,Mike Judge Gary Cole Chris Diamantopoulos,Animation Comedy,828947,https://image.tmdb.org/t/p/w500//rVKMA2j8m8hWgsDyXOllXp8DsWI.jpg,7.1,86min,https://www.imdb.com/title/tt14145426
54,Elvis,Baz Luhrmann,Austin Butler Tom Hanks Olivia DeJonge,Music Drama,614934,https://image.tmdb.org/t/p/w500//qBOKWqAFbveZ4ryjJJwbie6tXkQ.jpg,7.909,159min,https://www.imdb.com/title/tt3704428
55,The Black Phone,Scott Derrickson,Ethan Hawke Mason Thames Madeleine McGraw,Horror Thriller,756999,https://image.tmdb.org/t/p/w500//lr11mCT85T1JanlgjMuhs9nMht4.jpg,7.955,103min,https://www.imdb.com/title/tt7144666
56,The Sea Beast,Chris Williams,Karl Urban Zaris-Angel Hator Jared Harris,Animation Adventure,560057,https://image.tmdb.org/t/p/w500//9Zfv4Ap1e8eKOYnZPtYaWhLkk0d.jpg,7.676,119min,https://www.imdb.com/title/tt9288046
57,Marcel the Shell with Shoes On,Dean Fleischer-Camp,Jenny Slate Rosa Salazar Thomas Mann,Animation Comedy,869626,https://image.tmdb.org/t/p/w500//jaYmP4Ct8YLnxWAW2oYkUjeXtzm.jpg,8.1,90min,https://www.imdb.com/title/tt15339456
58,Rise,Akin Omotoso,Uche Agada Ral Agada Jaden Osimuwa,Animation Adventure,438148,https://image.tmdb.org/t/p/w500//wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,7.757,87min,https://www.imdb.com/title/tt5113044
59,Beauty,Andrew Dosunmu,Gracie Marie Bradley Niecy Nash Aleyse Shannon,Fantasy Animation,10882,https://image.tmdb.org/t/p/w500//7oCAPOphDKpIaxTrnukmDrZ8XKD.jpg,7.738,84min,https://www.imdb.com/title/tt0101414
